"Asset Type","Vulnerabilities-Aggregated: Adapter Connections","Vulnerabilities-Aggregated: Vuln ID","Vulnerabilities-Aggregated: Device Count","Vulnerabilities-Aggregated: CVE Description","Devices-Aggregated: Preferred Host Name","Devices-Aggregated: Preferred IPs","Devices-Aggregated: Preferred MAC Address","Devices-Aggregated: Preferred OS: Type and Distribution","Devices-Aggregated: Adapter Connections","Devices-Vuln ID"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2018-13410"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2018-13410"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-2505","3","Mozilla developers and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 102. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 102.1, Firefox < 103, and Thunderbird < 102.1.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-2505"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-2505"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-2505"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-3266","3","An out-of-bounds read can occur when decoding H264 video. This results in a potentially exploitable crash. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-3266"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-3266"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-3266"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-36315","3","When loading a script with Subresource Integrity, attackers with an injection capability could trigger the reuse of previously cached entries with incorrect, different integrity metadata. This vulnerability affects Firefox < 103.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36315"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36315"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36315"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-36316","3","When using the Performance API, an attacker was able to notice subtle differences between PerformanceEntries and thus learn whether the target URL had been subject to a redirect. This vulnerability affects Firefox < 103.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36316"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36316"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36316"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-36318","3","When visiting directory listings for `chrome://` URLs as source text, some parameters were reflected. This vulnerability affects Firefox ESR < 102.1, Firefox ESR < 91.12, Firefox < 103, Thunderbird < 102.1, and Thunderbird < 91.12.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36318"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36318"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36318"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-36319","3","When combining CSS properties for overflow and transform, the mouse cursor could interact with different coordinates than displayed. This vulnerability affects Firefox ESR < 102.1, Firefox ESR < 91.12, Firefox < 103, Thunderbird < 102.1, and Thunderbird < 91.12.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36319"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36319"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36319"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-36320","3","Mozilla developers and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 102. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 103.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36320"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36320"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-36320"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-38472","3","An attacker could have abused XSLT error handling to associate attacker-controlled content with another origin which was displayed in the address bar. This could have been used to fool the user into submitting data intended for the spoofed origin. This vulnerability affects Thunderbird < 102.2, Thunderbird < 91.13, Firefox ESR < 91.13, Firefox ESR < 102.2, and Firefox < 104.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38472"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38472"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38472"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-38473","3","A cross-origin iframe referencing an XSLT document would inherit the parent domain's permissions (such as microphone or camera access). This vulnerability affects Thunderbird < 102.2, Thunderbird < 91.13, Firefox ESR < 91.13, Firefox ESR < 102.2, and Firefox < 104.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38473"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38473"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38473"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-38474","3","A website that had permission to access the microphone could record audio without the audio notification being shown. This bug does not allow the attacker to bypass the permission prompt - it only affects the notification shown once permission has been granted.<br />*This bug only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 104.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38474"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38474"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38474"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-38475","3","An attacker could have written a value to the first element in a zero-length JavaScript array. Although the array was zero-length, the value was not written to an invalid memory address. This vulnerability affects Firefox < 104.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38475"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38475"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38475"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-38477","3","Mozilla developer Nika Layzell and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 103 and Firefox ESR 102.1. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 102.2, Thunderbird < 102.2, and Firefox < 104.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38477"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38477"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38477"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-38478","3","Members the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 103, Firefox ESR 102.1, and Firefox ESR 91.12. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Thunderbird < 102.2, Thunderbird < 91.13, Firefox ESR < 91.13, Firefox ESR < 102.2, and Firefox < 104.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38478"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38478"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-38478"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-40956","3","When injecting an HTML base element, some requests would ignore the CSP's base-uri settings and accept the injected element's base instead. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40956"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40956"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40956"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-40957","3","Inconsistent data in instruction and data cache when creating wasm code could lead to a potentially exploitable crash.<br>*This bug only affects Firefox on ARM64 platforms.*. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40957"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40957"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40957"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-40958","3","By injecting a cookie with certain special characters, an attacker on a shared subdomain which is not a secure context could set and thus overwrite cookies from a secure context, leading to session fixation and other attacks. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40958"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40958"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40958"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-40959","3","During iframe navigation, certain pages did not have their FeaturePolicy fully initialized leading to a bypass that leaked device permissions into untrusted subdocuments. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40959"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40959"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40959"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-40960","3","Concurrent use of the URL parser with non-UTF-8 data was not thread-safe. This could lead to a use-after-free causing a potentially exploitable crash. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40960"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40960"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40960"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-40962","3","Mozilla developers Nika Layzell, Timothy Nikkel, Sebastian Hengst, Andreas Pehrson, and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 104 and Firefox ESR 102.2. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40962"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40962"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-40962"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-42927","3","A same-origin policy violation could have allowed the theft of cross-origin URL entries, leaking the result of a redirect, via `performance.getEntries()`. This vulnerability affects Firefox < 106, Firefox ESR < 102.4, and Thunderbird < 102.4.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42927"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42927"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42927"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-42928","3","Certain types of allocations were missing annotations that, if the Garbage Collector was in a specific state, could have lead to memory corruption and a potentially exploitable crash. This vulnerability affects Firefox < 106, Firefox ESR < 102.4, and Thunderbird < 102.4.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42928"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42928"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42928"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-42929","3","If a website called `window.print()` in a particular way, it could cause a denial of service of the browser, which may persist beyond browser restart depending on the user's session restore settings. This vulnerability affects Firefox < 106, Firefox ESR < 102.4, and Thunderbird < 102.4.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42929"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42929"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42929"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-42930","3","If two Workers were simultaneously initializing their CacheStorage, a data race could have occurred in the `ThirdPartyUtil` component. This vulnerability affects Firefox < 106.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42930"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42930"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42930"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-42931","3","Logins saved by Firefox should be managed by the Password Manager component which uses encryption to save files on-disk. Instead, the username (not password) was saved by the Form Manager to an unencrypted file on disk. This vulnerability affects Firefox < 106.","","","","","",""
"Device","","","","","OIDSHARE","10.188.91.112
10.253.126.131","E4:A4:71:A6:BA:7B
EC:8E:B5:9D:2B:3F","Linux Ubuntu 24.04.2","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42931"
"Device","","","","","LOCALHOST.LOCALDOMAIN","10.188.90.112","EC:8E:B5:75:CD:D8","Linux Red Hat 7.5","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42931"
"Device","","","","","GERA","10.188.82.124","EC:8E:B5:75:CF:C6","Linux Centos 7.9.2009","cisco_adapter
paloalto_xdr_adapter","CVE-2022-42931"
"Vulnerability","epss_enrichment
nessus_adapter
paloalto_xdr_adapter
static_analysis_nvd
tenable_security_center_adapter","CVE-2022-42932","3","Mozilla developers Ashley Hale and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 105 and Firefox ESR 102.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 106, Firefox ESR < 102.4, and Thunderbird < 102.4.","","","","","",""
