"Aggregated: Adapter Connections","Aggregated: Preferred Host Name","Aggregated: Preferred IPs","Aggregated: Preferred MAC Address","Aggregated: Preferred OS: Type and Distribution"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","XOK2E5D06ADMXCO","10.188.62.118","2C:44:FD:29:41:32","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF706F209ADMXCO","10.188.92.109","FC:3F:DB:06:8E:67","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOC3B7D03ADMXCO","10.188.32.39","D8:BB:C1:7F:CD:95","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XO026EF05ADMXCO","10.188.72.135","18:60:24:EE:54:08","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VGT35BA12ALMXCO","10.188.121.79","F4:39:09:84:0C:04","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VS214B809ADMXCO","10.188.92.17","50:65:F3:23:46:BB","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFG296409ADMXCO","10.188.92.126","18:60:24:EE:52:7A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VP54D4106ALMXCO","10.188.61.110","90:2E:16:6B:45:51","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDI8FAA08ADMXCO","10.188.85.112","6C:4B:90:BA:3E:66","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH16F0904ADMXCO","10.188.41.253","6C:4B:90:DE:D2:43","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH825AA04ADMXCO","10.188.42.25","D8:BB:C1:7F:CE:20","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF763E309ADMXCO","10.188.95.38","6C:4B:90:E2:CE:15","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDD00AC07ADMXCO","10.188.75.22","10:E7:C6:AC:76:31","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFH8E0108ADMXCO","10.188.85.170","00:D8:61:62:56:B8","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOM84BE10ALMXCO","10.188.217.185","70:9C:D1:B2:C8:52","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VS14DCA09ADMXCO","10.188.92.44","6C:4B:90:E2:CE:AB","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH4954404ADMXCO","10.188.42.234","10:E7:C6:B9:85:A2","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOMF2B610ADMXCO","10.188.107.118","D8:BB:C1:EA:D8:AE","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF1850509ADMXCO","10.188.91.28","A0:D3:C1:26:91:53","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFB28DA09ADMXCO","10.188.92.190","00:D8:61:62:55:7D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VH2083F04ADMXCO","10.188.42.84","8C:DC:D4:2D:FD:EC","Windows 7"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VC42E1914ALMXCO","10.188.141.84","F8:75:A4:BF:25:0C","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI20DF908ADMXCO","10.188.82.244","10:E7:C6:B9:7F:4D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDF039909ADMXCO","10.188.92.143","D8:BB:C1:80:12:65","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VN81C2207ADMXCO","10.188.72.49","2C:44:FD:2A:90:64","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOW302E01ADMXCO","10.188.117.107","EC:8E:B5:75:CD:C7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGS2D5C11ALMXCO","10.188.223.144","D0:3C:1F:2C:A5:A6","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI20D8408ADMXCO","10.188.81.19","D8:BB:C1:80:10:11","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFB2B5C09ADMXCO","10.188.92.194","D8:BB:C1:EE:44:3B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF5584D09ADMXCO","10.188.91.156","D8:BB:C1:EE:4B:D0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XGB269603ADMXCO","10.188.31.189","D8:BB:C1:7F:DA:39","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF4922909ADMXCO","10.188.91.188","D8:BB:C1:EE:44:3D","Windows 10"
